name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Kai Havertz,Attacking Midfield,21,81000000,Germany,Bundesliga,Bayer 04 Leverkusen,England,Premier League,Chelsea FC,80000000
Leroy Sané,Left Winger,24,80000000,England,Premier League,Manchester City,Germany,Bundesliga,Bayern Munich,45000000
Arthur,Central Midfield,24,56000000,Spain,LaLiga,FC Barcelona,Italy,Serie A,Juventus FC,72000000
Victor Osimhen,Centre-Forward,21,40000000,France,Ligue 1,LOSC Lille,Italy,Serie A,SSC Napoli,70000000
Timo Werner,Centre-Forward,24,64000000,Germany,Bundesliga,RB Leipzig,England,Premier League,Chelsea FC,53000000
Miralem Pjanic,Defensive Midfield,30,45000000,Italy,Serie A,Juventus FC,Spain,LaLiga,FC Barcelona,60000000
Mauro Icardi,Centre-Forward,27,60000000,Italy,Serie A,Inter Milan,France,Ligue 1,Paris Saint-Germain,50000000
Álvaro Morata,Centre-Forward,27,36000000,England,Premier League,Chelsea FC,Spain,LaLiga,Atlético Madrid,56000000
Achraf Hakimi,Right Midfield,21,54000000,Spain,LaLiga,Real Madrid,Italy,Serie A,Inter Milan,40000000
Ben Chilwell,Left-Back,23,40000000,England,Premier League,Leicester City,England,Premier League,Chelsea FC,50000000
Nicolò Barella,Central Midfield,23,50000000,Italy,Serie A,Cagliari Calcio,Italy,Serie A,Inter Milan,25000000
Thiago,Central Midfield,29,48000000,Germany,Bundesliga,Bayern Munich,England,Premier League,Liverpool FC,30000000
Nathan Aké,Centre-Back,25,28000000,England,Championship,AFC Bournemouth,England,Premier League,Manchester City,45000000
Ferran Torres,Right Winger,20,45000000,Spain,LaLiga,Valencia CF,England,Premier League,Manchester City,23000000
Donny van de Beek,Central Midfield,23,44000000,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,39000000
Hakim Ziyech,Right Winger,27,40000000,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Chelsea FC,40000000
Fábio Silva,Centre-Forward,18,12000000,Portugal,Liga NOS,FC Porto,England,Premier League,Wolverhampton Wanderers,40000000
Giovani Lo Celso,Central Midfield,24,40000000,Spain,LaLiga,Real Betis Balompié,England,Premier League,Tottenham Hotspur,32000000
Rodrigo,Centre-Forward,29,40000000,Spain,LaLiga,Valencia CF,England,Premier League,Leeds United,30000000
Sandro Tonali,Defensive Midfield,20,32000000,Italy,Serie B,Brescia Calcio,Italy,Serie A,AC Milan,10000000
James Rodríguez,Attacking Midfield,29,32000000,Spain,LaLiga,Real Madrid,England,Premier League,Everton FC,Free transfer
Ante Rebic,Left Winger,26,32000000,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,AC Milan,?
